date,region,wind_speed
2020-12-11,Nord,20.3
2020-12-11,Süd,10.0
2020-12-12,Nord,19.5
2020-12-12,Süd,13.9
2020-12-13,Nord,13.2
2020-12-13,Süd,15.7
2020-12-14,Nord,18.8
2020-12-14,Süd,11.6
2020-12-15,Nord,14.0
2020-12-15,Süd,7.7
2020-12-16,Nord,19.9
2020-12-16,Süd,9.1
2020-12-17,Nord,21.3
2020-12-17,Süd,10.5
2020-12-18,Nord,16.4
2020-12-18,Süd,9.5
2020-12-19,Nord,18.5
2020-12-19,Süd,10.7
2020-12-20,Nord,14.5
2020-12-20,Süd,9.4
2020-12-21,Nord,23.3
2020-12-21,Süd,12.6
2020-12-22,Nord,27.4
2020-12-22,Süd,27.1
2020-12-23,Nord,13.2
2020-12-23,Süd,21.0
2020-12-24,Nord,16.7
2020-12-24,Süd,31.4
2020-12-25,Nord,15.2
2020-12-25,Süd,25.6
2020-12-26,Nord,28.8
2020-12-26,Süd,11.1
2020-12-27,Nord,37.6
2020-12-27,Süd,11.2
2020-12-28,Nord,24.1
2020-12-28,Süd,12.8
2020-12-29,Nord,20.7
2020-12-29,Süd,19.9
2020-12-30,Nord,22.1
2020-12-30,Süd,11.1
2020-12-31,Nord,19.4
2020-12-31,Süd,12.3
2021-01-01,Nord,14.5
2021-01-01,Süd,10.1
2021-01-02,Nord,13.5
2021-01-02,Süd,10.3
2021-01-03,Nord,26.3
2021-01-03,Süd,8.2
2021-01-04,Nord,23.6
2021-01-04,Süd,10.6
2021-01-05,Nord,21.0
2021-01-05,Süd,6.1
2021-01-06,Nord,16.0
2021-01-06,Süd,16.3
2021-01-07,Nord,13.0
2021-01-07,Süd,13.8
2021-01-08,Nord,14.6
2021-01-08,Süd,17.3
2021-01-09,Nord,14.8
2021-01-09,Süd,10.2
2021-01-10,Nord,21.0
2021-01-10,Süd,11.5
2021-01-11,Nord,29.0
2021-01-11,Süd,13.0
2021-01-12,Nord,29.9
2021-01-12,Süd,36.7
2021-01-13,Nord,31.5
2021-01-13,Süd,26.4
2021-01-14,Nord,26.8
2021-01-14,Süd,27.7
2021-01-15,Nord,14.8
2021-01-15,Süd,11.4
2021-01-16,Nord,11.8
2021-01-16,Süd,17.4
2021-01-17,Nord,13.8
2021-01-17,Süd,11.5
2021-01-18,Nord,21.6
2021-01-18,Süd,20.2
2021-01-19,Nord,27.9
2021-01-19,Süd,28.2
2021-01-20,Nord,27.8
2021-01-20,Süd,18.8
2021-01-21,Nord,35.8
2021-01-21,Süd,18.4
2021-01-22,Nord,31.5
2021-01-22,Süd,16.6
2021-01-23,Nord,17.1
2021-01-23,Süd,29.8
2021-01-24,Nord,11.6
2021-01-24,Süd,30.7
2021-01-25,Nord,14.4
2021-01-25,Süd,16.2
2021-01-26,Nord,18.8
2021-01-26,Süd,30.5
2021-01-27,Nord,16.8
2021-01-27,Süd,18.9
2021-01-28,Nord,14.0
2021-01-28,Süd,37.5
2021-01-29,Nord,22.7
2021-01-29,Süd,35.9
2021-01-30,Nord,15.0
2021-01-30,Süd,30.8
2021-01-31,Nord,13.4
2021-01-31,Süd,12.4
2021-02-01,Nord,16.5
2021-02-01,Süd,20.2
2021-02-02,Nord,12.7
2021-02-02,Süd,24.8
2021-02-03,Nord,15.1
2021-02-03,Süd,30.2
2021-02-04,Nord,14.3
2021-02-04,Süd,32.4
2021-02-05,Nord,22.9
2021-02-05,Süd,10.7
2021-02-06,Nord,28.8
2021-02-06,Süd,12.0
2021-02-07,Nord,36.0
2021-02-07,Süd,25.6
2021-02-08,Nord,31.9
2021-02-08,Süd,21.3
2021-02-09,Nord,18.1
2021-02-09,Süd,10.5
2021-02-10,Nord,19.3
2021-02-10,Süd,12.6
2021-02-11,Nord,14.0
2021-02-11,Süd,13.6
2021-02-12,Nord,17.4
2021-02-12,Süd,21.8
2021-02-13,Nord,8.5
2021-02-13,Süd,23.1
2021-02-14,Nord,13.3
2021-02-14,Süd,15.2
2021-02-15,Nord,24.5
2021-02-15,Süd,13.6
2021-02-16,Nord,14.1
2021-02-16,Süd,20.0
2021-02-17,Nord,22.5
2021-02-17,Süd,23.1
2021-02-18,Nord,20.2
2021-02-18,Süd,11.0
2021-02-19,Nord,21.8
2021-02-19,Süd,21.5
2021-02-20,Nord,14.8
2021-02-20,Süd,11.8
2021-02-21,Nord,13.8
2021-02-21,Süd,12.4
2021-02-22,Nord,12.2
2021-02-22,Süd,11.9
2021-02-23,Nord,17.3
2021-02-23,Süd,12.7
2021-02-24,Nord,21.9
2021-02-24,Süd,10.7
2021-02-25,Nord,19.2
2021-02-25,Süd,10.4
2021-02-26,Nord,22.7
2021-02-26,Süd,14.3
2021-02-27,Nord,16.1
2021-02-27,Süd,14.4
2021-02-28,Nord,12.5
2021-02-28,Süd,17.0
2021-03-01,Nord,8.2
2021-03-01,Süd,14.6
2021-03-02,Nord,8.6
2021-03-02,Süd,11.5
2021-03-03,Nord,20.5
2021-03-03,Süd,11.5
2021-03-04,Nord,18.5
2021-03-04,Süd,16.8
2021-03-05,Nord,11.3
2021-03-05,Süd,23.1
2021-03-06,Nord,20.0
2021-03-06,Süd,16.2
2021-03-07,Nord,26.0
2021-03-07,Süd,14.4
2021-03-08,Nord,10.0
2021-03-08,Süd,9.4
2021-03-09,Nord,18.4
2021-03-09,Süd,10.0
2021-03-10,Nord,23.2
2021-03-10,Süd,14.1
2021-03-11,Nord,43.8
