species,lat,lon,date,locId,locName,area_type
Carrion Crow,54.825144,9.420877,2026-02-07 15:22,L14936746,Strandbad Wassersleben,urban
Tundra Swan,53.9073717,10.0047126,2026-02-07 15:00,L58168380,Hasenmoor,urban
Whooper Swan,53.9073717,10.0047126,2026-02-07 15:00,L58168380,Hasenmoor,urban
Common Crane,53.9073717,10.0047126,2026-02-07 15:00,L58168380,Hasenmoor,urban
Graylag Goose,54.6846985,8.7653732,2026-02-07 14:49,L4315857,Hauke-Haien-Koog (gesamt),rural
Brant,54.6846985,8.7653732,2026-02-07 14:49,L4315857,Hauke-Haien-Koog (gesamt),rural
Barnacle Goose,54.6846985,8.7653732,2026-02-07 14:49,L4315857,Hauke-Haien-Koog (gesamt),rural
Common Shelduck,54.6846985,8.7653732,2026-02-07 14:49,L4315857,Hauke-Haien-Koog (gesamt),rural
Eurasian Wigeon,54.6846985,8.7653732,2026-02-07 14:49,L4315857,Hauke-Haien-Koog (gesamt),rural
Hen Harrier,54.6846985,8.7653732,2026-02-07 14:49,L4315857,Hauke-Haien-Koog (gesamt),rural
Red Kite,54.6846985,8.7653732,2026-02-07 14:49,L4315857,Hauke-Haien-Koog (gesamt),rural
Tufted Duck,54.3689543,10.1532568,2026-02-07 14:25,L58200071,"12 Tiessenkai, Kiel, Schleswig-Holstein, DE (54.369, 10.153)",urban
Common Eider,54.3689543,10.1532568,2026-02-07 14:25,L58200071,"12 Tiessenkai, Kiel, Schleswig-Holstein, DE (54.369, 10.153)",urban
Eurasian Coot,54.3689543,10.1532568,2026-02-07 14:25,L58200071,"12 Tiessenkai, Kiel, Schleswig-Holstein, DE (54.369, 10.153)",urban
Black-headed Gull,54.3689543,10.1532568,2026-02-07 14:25,L58200071,"12 Tiessenkai, Kiel, Schleswig-Holstein, DE (54.369, 10.153)",urban
Common Buzzard,54.3689543,10.1532568,2026-02-07 14:25,L58200071,"12 Tiessenkai, Kiel, Schleswig-Holstein, DE (54.369, 10.153)",urban
Redwing,54.3689543,10.1532568,2026-02-07 14:25,L58200071,"12 Tiessenkai, Kiel, Schleswig-Holstein, DE (54.369, 10.153)",urban
Green-winged Teal,54.4255373,10.2869924,2026-02-07 13:59,L1033222,Bottsand (NSG),rural
Red-breasted Merganser,54.4255373,10.2869924,2026-02-07 13:59,L1033222,Bottsand (NSG),rural
Common Wood-Pigeon,54.4255373,10.2869924,2026-02-07 13:59,L1033222,Bottsand (NSG),rural
Eurasian Curlew,54.4255373,10.2869924,2026-02-07 13:59,L1033222,Bottsand (NSG),rural
Red-throated Loon,54.4255373,10.2869924,2026-02-07 13:59,L1033222,Bottsand (NSG),rural
Great Cormorant,54.4255373,10.2869924,2026-02-07 13:59,L1033222,Bottsand (NSG),rural
Ring-necked Pheasant,53.9708215,10.7740205,2026-02-07 13:45,L58169646,Hemmelsdorf,urban
Water Rail,53.9708215,10.7740205,2026-02-07 13:45,L58169646,Hemmelsdorf,urban
Eurasian Blackbird,53.9708215,10.7740205,2026-02-07 13:45,L58169646,Hemmelsdorf,urban
European Greenfinch,53.9708215,10.7740205,2026-02-07 13:45,L58169646,Hemmelsdorf,urban
Greater Scaup,53.9618209,10.8853238,2026-02-07 13:44,L13435923,"Strand und Nordermole, Travemünde",rural
Dunlin,53.9618209,10.8853238,2026-02-07 13:44,L13435923,"Strand und Nordermole, Travemünde",rural
Gray Heron,54.3040208,10.8067972,2026-02-07 13:00,L12573052,Wesseker See (NSG),rural
Eurasian Green Woodpecker,53.5031239,10.2889536,2026-02-07 13:00,L19664720,Wentorfer Lohe,rural
Eurasian Kestrel,54.3040208,10.8067972,2026-02-07 13:00,L12573052,Wesseker See (NSG),rural
Eurasian Jay,53.5031239,10.2889536,2026-02-07 13:00,L19664720,Wentorfer Lohe,rural
Eurasian Nuthatch,53.5031239,10.2889536,2026-02-07 13:00,L19664720,Wentorfer Lohe,rural
Hawfinch,53.5031239,10.2889536,2026-02-07 13:00,L19664720,Wentorfer Lohe,rural
Eurasian Bullfinch,53.5031239,10.2889536,2026-02-07 13:00,L19664720,Wentorfer Lohe,rural
European Goldfinch,53.5031239,10.2889536,2026-02-07 13:00,L19664720,Wentorfer Lohe,rural
Eurasian Siskin,54.3040208,10.8067972,2026-02-07 13:00,L12573052,Wesseker See (NSG),rural
Eurasian Collared-Dove,54.2387532,10.3048847,2026-02-07 12:40,L41324170,"Preetz Heimkroogkoppel, Ausgleichsfläche und Klärteiche",rural
Greater White-fronted Goose,53.738519,10.744337,2026-02-07 12:00,L46446644,Buchholz,rural
Canada Goose,53.738519,10.744337,2026-02-07 12:00,L46446644,Buchholz,rural
Mute Swan,53.9814132,10.7989688,2026-02-07 12:00,L11109181,Aalbeek-Niederung (NSG),rural
Common Pochard,53.738519,10.744337,2026-02-07 12:00,L46446644,Buchholz,rural
Eurasian Moorhen,53.9814132,10.7989688,2026-02-07 12:00,L11109181,Aalbeek-Niederung (NSG),rural
Little Grebe,53.738519,10.744337,2026-02-07 12:00,L46446644,Buchholz,rural
Great Spotted Woodpecker,53.738519,10.744337,2026-02-07 12:00,L46446644,Buchholz,rural
Eurasian Magpie,53.9814132,10.7989688,2026-02-07 12:00,L11109181,Aalbeek-Niederung (NSG),rural
Eurasian Jackdaw,53.9814132,10.7989688,2026-02-07 12:00,L11109181,Aalbeek-Niederung (NSG),rural
Common Raven,53.9814132,10.7989688,2026-02-07 12:00,L11109181,Aalbeek-Niederung (NSG),rural
Marsh Tit,53.738519,10.744337,2026-02-07 12:00,L46446644,Buchholz,rural
Eurasian Wren,53.9814132,10.7989688,2026-02-07 12:00,L11109181,Aalbeek-Niederung (NSG),rural
European Robin,53.738519,10.744337,2026-02-07 12:00,L46446644,Buchholz,rural
House Sparrow,53.738519,10.744337,2026-02-07 12:00,L46446644,Buchholz,rural
