date,region,wind_speed,species,count,obs_freq
2020-06-15,Süd,,Mallard,24,1
2020-06-16,Nord,,Tufted Duck,6,1
2020-06-16,Süd,,Mallard,3,1
2020-06-16,Süd,,Eurasian Wigeon,1,1
2020-06-16,Süd,,Tufted Duck,1,1
2020-06-17,Süd,,Mallard,1,1
2020-06-17,Süd,,Tufted Duck,2,1
2020-06-18,Nord,,Mallard,7,1
2020-06-18,Süd,,Mallard,16,1
2020-06-18,Süd,,Tufted Duck,1,1
2020-06-19,Nord,,Mallard,6,1
2020-06-19,Süd,,Mallard,1,1
2020-06-20,Süd,,Mallard,2,1
2020-06-20,Süd,,Tufted Duck,16,1
2020-06-21,Nord,,Tufted Duck,1,1
2020-06-21,Süd,,Mallard,14,1
2020-06-21,Süd,,Tufted Duck,2,1
2020-06-22,Nord,,Mallard,7,1
2020-06-22,Süd,,Mallard,1,1
2020-06-22,Süd,,Tufted Duck,7,1
2020-06-23,Nord,,Mallard,1,1
2020-06-23,Süd,,Mallard,23,1
2020-06-23,Süd,,Tufted Duck,5,1
2020-06-24,Süd,,Mallard,8,1
2020-06-24,Süd,,Tufted Duck,1,1
2020-06-25,Süd,,Mallard,2,1
2020-06-25,Süd,,Tufted Duck,8,1
2020-06-26,Nord,,Mallard,9,1
2020-06-26,Süd,,Mallard,1,1
2020-06-26,Süd,,Tufted Duck,1,1
2020-06-27,Nord,,Mallard,4,1
2020-06-27,Nord,,Tufted Duck,1,1
2020-06-27,Süd,,Mallard,32,1
2020-06-27,Süd,,Tufted Duck,31,1
2020-06-28,Nord,,Mallard,9,1
2020-06-28,Süd,,Mallard,8,1
2020-06-28,Süd,,Tufted Duck,25,1
2020-06-29,Süd,,Mallard,1,1
2020-06-29,Süd,,Tufted Duck,4,1
2020-06-30,Nord,,Mallard,5,1
2020-06-30,Nord,,Tufted Duck,5,1
2020-06-30,Süd,,Mallard,1,1
2020-06-30,Süd,,Tufted Duck,30,1
2020-07-01,Nord,,Mallard,1,1
2020-07-01,Nord,,Tufted Duck,1,1
2020-07-01,Süd,,Mallard,1,1
2020-07-01,Süd,,Tufted Duck,1,1
2020-07-02,Süd,,Mallard,7,1
2020-07-02,Süd,,Tufted Duck,1,1
2020-07-03,Nord,,Mallard,7,1
2020-07-03,Süd,,Tufted Duck,6,1
2020-07-04,Nord,,Mallard,6,1
2020-07-04,Nord,,Tufted Duck,8,1
2020-07-04,Süd,,Mallard,5,1
2020-07-04,Süd,,Tufted Duck,3,1
2020-07-05,Nord,,Mallard,6,1
2020-07-05,Nord,,Tufted Duck,2,1
2020-07-05,Süd,,Mallard,7,1
2020-07-05,Süd,,Tufted Duck,10,1
2020-07-06,Süd,,Mallard,10,1
2020-07-07,Nord,,Mallard,2,1
2020-07-07,Süd,,Mallard,12,1
2020-07-07,Süd,,Tufted Duck,2,1
2020-07-08,Süd,,Mallard,1,1
2020-07-08,Süd,,Tufted Duck,1,1
2020-07-09,Süd,,Mallard,1,1
2020-07-09,Süd,,Tufted Duck,1,1
2020-07-10,Nord,,Mallard,15,1
2020-07-10,Süd,,Mallard,1,1
2020-07-10,Süd,,Tufted Duck,100,1
2020-07-11,Nord,,Mallard,16,1
2020-07-11,Nord,,Tufted Duck,2,1
2020-07-11,Süd,,Mallard,1,1
2020-07-11,Süd,,Tufted Duck,1,1
2020-07-12,Süd,,Mallard,5,1
2020-07-12,Süd,,Tufted Duck,8,1
2020-07-13,Süd,,Mallard,10,1
2020-07-14,Süd,,Mallard,10,1
2020-07-15,Süd,,Mallard,4,1
2020-07-15,Süd,,Tufted Duck,6,1
2020-07-16,Süd,,Mallard,1,1
