date,pm2_5_mean,no2_mean,error
2025-06-02,2.0184,3.7912000000000012,
2025-06-03,3.0751999999999997,3.5367999999999995,
2025-06-04,1.0348000000000004,3.1372000000000004,
2025-06-05,1.1428000000000003,2.8624,
2025-06-06,0.5828,2.2392,
2025-06-07,0.5723999999999999,1.9712,
2025-06-08,0.5988000000000001,1.5075999999999998,
2025-06-09,1.1704,2.8572,
2025-06-10,3.3211999999999993,3.4344000000000006,
2025-06-11,1.8696000000000002,2.9231999999999996,
2025-06-12,3.6732,3.306000000000001,
2025-06-13,4.4704,2.724,
2025-06-14,7.591600000000002,2.7204,
2025-06-15,8.1872,2.67,
2025-06-16,2.1596,2.4584,
2025-06-17,3.1779999999999995,3.6124,
2025-06-18,5.469200000000001,3.5284000000000004,
2025-06-19,2.9416,2.2932000000000006,
2025-06-20,2.3236000000000003,3.13,
2025-06-21,3.96,3.8316000000000003,
2025-06-22,5.1756,3.2655999999999987,
2025-06-23,2.6148,2.1008,
2025-06-24,2.766800000000001,2.17,
2025-06-25,2.8908000000000005,2.7112,
2025-06-26,2.8991999999999996,2.9132000000000007,
2025-06-27,1.898,3.5140000000000002,
2025-06-28,3.8076,2.5552,
2025-06-29,2.6448,1.746,
2025-06-30,2.4684000000000004,2.6400000000000006,
