Date,Region,Max_Temp
2024-04-24,Süd,8.6
2024-04-25,Nord,9.2
2024-04-25,Süd,9.1
2024-04-26,Nord,11.0
2024-04-26,Süd,15.0
2024-04-27,Nord,17.6
2024-04-27,Süd,18.6
2024-04-28,Nord,20.5
2024-04-28,Süd,23.1
2024-04-29,Nord,18.8
2024-04-29,Süd,20.8
2024-04-30,Nord,22.9
2024-04-30,Süd,25.2
2025-03-01,Nord,6.3
2025-03-01,Süd,5.0
2025-03-02,Nord,7.2
2025-03-02,Süd,7.1
2025-03-03,Nord,9.1
2025-03-03,Süd,8.9
2025-03-04,Nord,9.9
2025-03-04,Süd,10.1
2025-03-05,Nord,13.3
2025-03-05,Süd,12.4
2025-03-06,Nord,15.4
2025-03-06,Süd,14.9
2025-03-07,Nord,17.2
2025-03-07,Süd,14.5
2025-03-08,Nord,16.1
2025-03-08,Süd,14.6
2025-03-09,Nord,14.9
2025-03-09,Süd,17.2
2025-03-10,Nord,11.3
2025-03-10,Süd,11.5
2025-03-11,Nord,10.2
2025-03-11,Süd,13.8
2025-03-12,Nord,7.3
2025-03-12,Süd,10.6
2025-03-13,Nord,6.5
2025-03-13,Süd,6.6
2025-03-14,Nord,6.0
2025-03-14,Süd,5.9
2025-03-15,Nord,7.5
2025-03-15,Süd,5.0
2025-03-16,Nord,6.8
2025-03-16,Süd,4.7
2025-03-17,Nord,6.2
2025-03-17,Süd,4.9
2025-03-18,Nord,8.1
2025-03-18,Süd,5.6
2025-03-19,Nord,12.0
2025-03-19,Süd,11.1
2025-03-20,Nord,17.0
2025-03-20,Süd,16.3
2025-03-21,Nord,17.2
2025-03-21,Süd,17.5
2025-03-22,Nord,14.9
2025-03-22,Süd,16.6
2025-03-23,Nord,14.6
2025-03-23,Süd,13.9
2025-03-24,Nord,14.4
2025-03-24,Süd,12.5
2025-03-25,Nord,11.2
2025-03-25,Süd,12.9
2025-03-26,Nord,11.1
2025-03-26,Süd,10.4
2025-03-27,Nord,12.4
2025-03-27,Süd,8.3
2025-03-28,Nord,16.9
2025-03-28,Süd,11.6
2025-03-29,Nord,12.2
2025-03-29,Süd,8.8
2025-03-30,Nord,9.8
2025-03-30,Süd,12.3
2025-03-31,Nord,11.6
2025-03-31,Süd,7.5
2025-04-01,Nord,13.7
2025-04-01,Süd,8.0
2025-04-02,Nord,14.9
2025-04-02,Süd,13.3
2025-04-03,Nord,17.5
2025-04-03,Süd,16.2
2025-04-04,Nord,19.8
2025-04-04,Süd,17.1
2025-04-05,Nord,10.5
2025-04-05,Süd,18.0
2025-04-06,Nord,9.4
2025-04-06,Süd,6.4
2025-04-07,Nord,12.6
2025-04-07,Süd,8.1
2025-04-08,Nord,14.6
2025-04-08,Süd,11.6
2025-04-09,Nord,13.6
2025-04-09,Süd,10.8
2025-04-10,Nord,13.5
2025-04-10,Süd,13.7
2025-04-11,Nord,15.1
2025-04-11,Süd,16.6
2025-04-12,Nord,19.3
2025-04-12,Süd,18.8
2025-04-13,Nord,18.5
2025-04-13,Süd,18.5
2025-04-14,Nord,16.9
2025-04-14,Süd,18.9
2025-04-15,Nord,23.0
2025-04-15,Süd,20.7
2025-04-16,Nord,22.6
2025-04-16,Süd,24.0
2025-04-17,Nord,14.6
2025-04-17,Süd,17.0
2025-04-18,Nord,10.4
2025-04-18,Süd,10.9
2025-04-19,Nord,9.6
2025-04-19,Süd,19.2
2025-04-20,Nord,14.0
2025-04-20,Süd,23.5
2025-04-21,Nord,16.5
2025-04-21,Süd,17.1
2025-04-22,Nord,15.5
2025-04-22,Süd,17.1
2025-04-23,Nord,16.2
2025-04-23,Süd,19.7
2025-04-24,Nord,15.3
2025-04-24,Süd,12.8
2025-04-25,Nord,14.5
2025-04-25,Süd,13.1
2025-04-26,Nord,16.8
2025-04-26,Süd,13.9
2025-04-27,Nord,17.0
2025-04-27,Süd,16.8
2025-04-28,Nord,21.0
2025-04-28,Süd,19.6
2025-04-29,Nord,21.5
2025-04-29,Süd,21.8
2025-04-30,Nord,22.4
2025-04-30,Süd,23.2
