Date,Region,Total_Amount
2023/04/19,DE-HH,145
2023/04/20,DE-HH,172
2023/04/21,DE-HH,582
2023/04/22,DE-HH,177
2023/04/23,DE-HH,131
2023/04/24,DE-HH,92
2023/04/25,DE-HH,114
2023/04/26,DE-HH,156
2023/04/27,DE-HH,147
2023/04/28,DE-HH,141
2023/04/29,DE-HH,142
2023/04/30,DE-HH,120
2023/05/01,DE-HH,142
2023/05/02,DE-HH,264
2023/05/03,DE-HH,342
2023/05/04,DE-HH,102
2023/05/05,DE-HH,65
2023/05/06,DE-HH,98
2023/05/07,DE-HH,287
2023/05/08,DE-HH,10
2023/05/09,DE-HH,34
2023/05/10,DE-HH,41
2023/05/11,DE-HH,129
2023/05/12,DE-HH,84
2023/05/13,DE-HH,381
2023/05/14,DE-HH,168
2023/05/15,DE-HH,35
2023/05/16,DE-HH,3
2023/05/17,DE-HH,109
2023/05/18,DE-HH,430
2023/05/19,DE-HH,304
2023/05/20,DE-HH,412
2023/05/21,DE-HH,155
2023/05/22,DE-HH,39
2023/05/23,DE-HH,240
2023/05/24,DE-HH,127
2023/05/25,DE-HH,114
2023/05/26,DE-HH,129
2023/05/27,DE-HH,90
2023/05/28,DE-HH,38
2023/05/29,DE-HH,99
2023/05/30,DE-HH,91
2023/05/31,DE-HH,7
2023/06/01,DE-HH,352
2023/06/02,DE-HH,343
2023/06/03,DE-HH,337
2023/06/04,DE-HH,168
2023/06/05,DE-HH,245
2023/06/06,DE-HH,280
2023/06/07,DE-HH,265
2023/06/08,DE-HH,499
2023/06/09,DE-HH,0
2023/06/10,DE-HH,193
2023/06/11,DE-HH,263
2023/06/12,DE-HH,57
2023/06/13,DE-HH,209
2023/06/14,DE-HH,108
2023/06/15,DE-HH,393
2023/06/16,DE-HH,180
2023/06/17,DE-HH,72
2023/06/18,DE-HH,30
2023/06/19,DE-HH,18
2023/06/20,DE-HH,0
2023/06/21,DE-HH,112
2023/06/22,DE-HH,0
2023/06/23,DE-HH,1
2023/06/24,DE-HH,218
2023/06/25,DE-HH,133
2023/06/26,DE-HH,0
2023/06/27,DE-HH,0
2023/06/28,DE-HH,174
2023/06/29,DE-HH,309
2023/06/30,DE-HH,207
2023/07/01,DE-HH,82
2023/07/02,DE-HH,86
2023/07/03,DE-HH,131
2023/07/04,DE-HH,149
2023/07/05,DE-HH,134
2023/07/06,DE-HH,140
2023/07/07,DE-HH,738
2023/07/08,DE-HH,177
2023/07/09,DE-HH,26
2023/07/10,DE-HH,1
2023/07/11,DE-HH,4
2023/07/12,DE-HH,118
2023/07/13,DE-HH,158
2023/07/14,DE-HH,24
2023/07/15,DE-HH,0
2023/07/16,DE-HH,17
2023/07/17,DE-HH,3
