,Date,Region,Total_Amount,PM2.5_mean,PM2.5_var,PM2.5_min,PM2.5_max,PM10_mean,PM10_var,PM10_min,PM10_max
1102,2024-01-12,DE-HH,159,8.940833333333334,49.05795579710146,2.24,23.14,12.836666666666666,41.945736231884055,6.16,27.54
1103,2024-01-13,DE-HH,121,1.2325000000000002,0.0797586956521739,0.75,1.85,2.317083333333333,0.8342302536231878,1.07,5.25
1104,2024-01-14,DE-HH,324,0.7870833333333334,0.0577172101449275,0.5,1.24,1.4179166666666667,0.3949998188405798,0.69,2.42
1105,2024-01-15,DE-HH,90,6.067916666666666,97.85507807971013,0.5,33.44,7.197500000000001,115.12762826086956,0.75,36.15
1106,2024-01-16,DE-HH,66,7.520833333333333,103.06396449275366,0.92,33.67,8.432083333333333,116.57399112318836,1.48,36.2
1107,2024-01-17,DE-HH,32,16.543333333333333,54.41900579710144,10.0,34.83,18.6175,65.88109782608696,11.34,38.65
1108,2024-01-18,DE-HH,112,10.620833333333334,70.88623405797104,2.03,27.29,12.3075,85.1835760869565,2.97,31.02
1109,2024-01-19,DE-HH,42,1.3358333333333334,0.2131123188405797,0.71,2.12,2.0925,0.3181847826086957,1.23,3.31
1110,2024-01-20,DE-HH,90,6.955416666666667,5.265043297101452,2.62,10.27,8.347083333333332,4.712412862318844,4.08,11.34
1111,2024-01-21,DE-HH,113,5.9191666666666665,3.3697905797101457,3.18,9.84,6.732083333333333,4.91586938405797,3.49,11.61
1112,2024-01-22,DE-HH,0,1.7,0.964886956521739,0.84,5.01,2.2670833333333333,1.4497780797101456,0.95,5.89
1113,2024-01-23,DE-HH,36,1.7008333333333334,1.157564492753623,0.65,4.56,3.395,1.914904347826087,0.96,5.19
1114,2024-01-24,DE-HH,11,1.595,0.326304347826087,0.67,2.44,3.855,8.402478260869565,0.79,9.15
1115,2024-01-25,DE-HH,102,2.9341666666666666,6.299842753623188,1.36,10.23,6.897916666666667,7.5593302536231874,4.1,13.92
1116,2024-01-26,DE-HH,188,7.119583333333334,59.06108242753621,0.8,21.36,9.055,75.87343478260871,0.92,25.51
1117,2024-01-27,DE-HH,149,3.9375,11.301889130434782,1.07,13.6,7.732500000000001,12.356958695652173,4.14,17.34
1118,2024-01-28,DE-HH,61,15.852083333333333,73.62926938405795,6.48,32.4,18.93625,93.23430271739127,7.88,37.71
